date_hour,cnt
2012-12-01 00:00:00,120.347664
2012-12-01 01:00:00,66.05784
2012-12-01 02:00:00,53.323593
2012-12-01 03:00:00,17.224949
2012-12-01 04:00:00,0.0
2012-12-01 05:00:00,0.0
2012-12-01 06:00:00,13.691068
2012-12-01 07:00:00,73.75046
2012-12-01 08:00:00,119.40361
2012-12-01 09:00:00,199.4934
2012-12-01 10:00:00,260.45508
2012-12-01 11:00:00,352.93732
2012-12-01 12:00:00,417.195
2012-12-01 13:00:00,411.86133
2012-12-01 14:00:00,358.192
2012-12-01 15:00:00,404.43378
2012-12-01 16:00:00,370.89737
2012-12-01 17:00:00,297.0351
2012-12-01 18:00:00,256.24323
2012-12-01 19:00:00,112.25905
2012-12-01 20:00:00,205.20833
2012-12-01 21:00:00,115.05239
2012-12-01 22:00:00,106.19027
2012-12-01 23:00:00,106.684364
2012-12-02 00:00:00,111.47937
2012-12-02 01:00:00,60.520493
2012-12-02 02:00:00,51.011333
2012-12-02 03:00:00,17.588327
2012-12-02 04:00:00,0.0
2012-12-02 05:00:00,0.0
2012-12-02 06:00:00,4.0156636
2012-12-02 07:00:00,42.080708
2012-12-02 08:00:00,97.874
2012-12-02 09:00:00,203.0761
2012-12-02 10:00:00,274.9927
2012-12-02 11:00:00,332.5735
2012-12-02 12:00:00,409.63672
2012-12-02 13:00:00,419.9097
2012-12-02 14:00:00,438.3333
2012-12-02 15:00:00,430.2867
2012-12-02 16:00:00,403.45288
2012-12-02 17:00:00,191.7464
2012-12-02 18:00:00,287.76196
2012-12-02 19:00:00,109.16056
2012-12-02 20:00:00,168.93312
2012-12-02 21:00:00,123.61359
2012-12-02 22:00:00,108.93661
2012-12-02 23:00:00,95.09087
2012-12-03 00:00:00,46.784954
2012-12-03 01:00:00,21.59186
2012-12-03 02:00:00,2.6905272
2012-12-03 03:00:00,0.0
2012-12-03 04:00:00,1.2832675
2012-12-03 05:00:00,21.574436
2012-12-03 06:00:00,136.03424
2012-12-03 07:00:00,344.07495
2012-12-03 08:00:00,633.7679
2012-12-03 09:00:00,289.69504
2012-12-03 10:00:00,199.37938
2012-12-03 11:00:00,236.05096
2012-12-03 12:00:00,352.8445
