filename,genre
m00003.wav,classical
m00012.wav,classical
m00013.wav,metal
m00043.wav,classical
m00044.wav,metal
m00055.wav,pop
m00061.wav,classical
m00063.wav,classical
m00069.wav,metal
m00074.wav,metal
m00107.wav,pop
m00114.wav,pop
m00127.wav,metal
m00137.wav,pop
m00139.wav,pop
m00148.wav,pop
m00149.wav,classical
m00156.wav,metal
m00183.wav,classical
m00211.wav,classical
m00218.wav,pop
m00228.wav,pop
m00247.wav,classical
m00254.wav,classical
m00266.wav,metal
m00289.wav,classical
m00292.wav,metal
m00293.wav,classical
m00309.wav,metal
m00318.wav,classical
m00321.wav,pop
m00323.wav,metal
m00324.wav,metal
m00331.wav,metal
m00348.wav,classical
m00355.wav,pop
m00356.wav,classical
m00357.wav,pop
m00359.wav,classical
m00363.wav,pop
m00371.wav,pop
m00372.wav,classical
m00391.wav,classical
m00393.wav,pop
m00399.wav,pop
m00405.wav,pop
m00414.wav,metal
m00434.wav,metal
m00463.wav,metal
m00468.wav,metal
m00487.wav,pop
m00495.wav,metal
m00515.wav,pop
m00528.wav,pop
m00537.wav,metal
m00538.wav,metal
m00549.wav,metal
m00555.wav,pop
m00560.wav,metal
m00570.wav,pop
m00571.wav,metal
m00576.wav,pop
m00581.wav,classical
m00582.wav,metal
m00589.wav,metal
m00597.wav,metal
m00610.wav,classical
m00616.wav,pop
m00624.wav,metal
m00635.wav,metal
m00685.wav,pop
m00705.wav,metal
m00708.wav,pop
m00719.wav,pop
m00730.wav,classical
m00733.wav,pop
m00736.wav,metal
m00755.wav,pop
m00756.wav,metal
m00791.wav,pop
m00806.wav,classical
m00812.wav,classical
m00817.wav,pop
m00824.wav,pop
m00828.wav,pop
m00829.wav,pop
m00833.wav,pop
m00838.wav,metal
m00843.wav,pop
m00852.wav,classical
m00873.wav,metal
m00921.wav,metal
m00927.wav,classical
m00928.wav,metal
m00941.wav,metal
m00947.wav,pop
m00949.wav,metal
m00950.wav,pop
m00961.wav,classical
m00967.wav,metal
m00971.wav,metal
m00973.wav,pop
m00988.wav,pop
m00991.wav,metal
m00995.wav,metal
